"MemberID","Gender","Visit_Last1Month","Visit_Last2Month","Visit_Last3Month","Spending_Last1Month","Spending_Last2Month","Spending_Last3Month","Age","Monthly_Income","Marital_Status","Payment_Channel","Buy_Groceries","Buy_Toiletries","Buy_Food","Buy_Electronic","Buy_Clothes","Buy_HomeAppliances","Last_Visit","y"
"ID078981",1,3,6,6,1035038,1065459,1072635,33,8149800,1,2,0,1,1,0,0,1,9,0
"ID829446",1,4,3,4,221898,212996,187912,31,8622300,0,1,1,1,1,0,0,0,6,0
"ID322871",0,2,1,2,383021,421515,491557,29,3596100,0,0,0,1,1,0,0,1,7,1
"ID940943",1,4,3,5,326741,314055,325693,36,7629400,0,0,0,1,1,0,0,1,19,1
"ID854142",0,1,1,2,230902,253026,245667,50,4091300,0,0,0,1,1,0,0,1,3,0
"ID280658",1,6,6,6,506304,533084,520512,44,5979400,1,2,0,0,1,0,0,0,4,1
"ID067923",1,1,4,3,317411,348169,379726,39,3016300,1,0,0,1,1,0,0,0,18,0
"ID419866",1,3,7,6,912065,965350,959518,24,4402300,0,2,0,1,0,0,0,0,13,1
"ID720636",1,1,2,6,316152,313554,255618,37,11092200,1,0,0,1,1,0,0,0,3,0
"ID619225",0,3,6,9,506525,503035,488920,25,4696200,0,2,0,0,1,0,0,0,17,0
"ID445439",1,3,1,3,390301,392303,365956,31,5309300,1,2,0,1,1,0,0,0,18,1
"ID884627",1,0,0,0,0,0,0,24,5360700,1,1,0,1,1,0,0,0,110,0
"ID151232",1,3,4,4,393839,327786,348323,32,3834800,1,0,1,1,1,0,0,1,29,1
"ID600768",1,4,7,1,317071,316714,301304,25,2953200,1,2,0,0,1,0,0,0,4,1
"ID542032",1,1,1,1,905273,931014,902961,24,7140700,1,1,0,1,1,0,0,0,4,0
"ID347794",0,2,3,1,832120,771511,695903,27,5386200,0,0,0,1,1,0,0,0,29,0
"ID547765",1,4,3,6,359470,350163,323604,32,6237100,0,1,1,1,0,0,1,0,7,0
"ID918786",1,2,3,3,420315,368252,331491,29,4322800,1,2,0,1,1,1,0,0,17,1
"ID862862",0,4,1,2,642369,729980,704476,35,5234500,0,1,0,1,1,0,0,1,24,0
"ID799657",0,4,9,6,172979,159759,212157,27,5957200,0,0,0,1,1,0,0,0,13,1
"ID335711",1,3,2,8,264719,278885,304199,28,4075000,1,0,0,1,0,0,0,0,3,0
"ID317379",0,3,3,6,329512,278722,264123,25,4841000,1,0,0,1,1,0,0,0,2,0
"ID889803",1,2,3,2,342351,324572,317183,23,8235100,0,1,0,0,1,0,0,0,24,1
"ID136595",0,5,7,4,423886,451931,377343,23,5369400,0,0,1,1,0,0,0,0,13,1
"ID287516",1,3,7,4,566801,539324,558386,23,2327000,1,2,0,1,1,1,0,0,20,1
"ID434570",0,3,4,1,274068,324685,365634,28,11874400,1,2,0,0,1,0,0,1,0,1
"ID305164",0,1,1,3,265041,314850,319265,31,3045300,1,1,0,1,1,0,0,0,25,0
"ID042387",1,1,5,3,478792,482875,486879,21,1933800,0,1,0,0,1,0,0,0,26,0
"ID065020",1,4,0,2,154583,0,180100,25,6332100,0,0,0,0,1,0,0,0,4,0
"ID108731",1,3,5,2,333719,310887,328985,34,5955900,1,0,0,1,1,0,0,1,14,0
"ID946153",1,6,6,5,270998,284834,281316,30,5239000,1,0,0,1,1,0,0,0,8,0
"ID867723",1,6,6,3,1142994,1020174,1019559,30,4637100,0,2,0,1,1,0,0,1,5,0
"ID451334",0,9,9,6,463139,453950,506261,30,5285500,0,2,1,0,1,0,0,1,1,1
"ID997021",1,2,2,5,484661,500407,518625,28,2644900,0,1,0,1,1,0,0,0,2,1
"ID311928",0,2,2,4,254735,204310,215944,43,4256100,1,0,0,1,1,0,0,0,10,0
"ID965481",1,1,6,6,566137,589306,696893,30,8537700,1,2,0,1,1,0,1,0,29,1
"ID345593",1,3,5,1,237456,262258,245467,32,8674000,1,2,0,1,1,1,1,0,15,0
"ID992367",1,7,1,3,321574,317601,285852,30,596700,1,0,0,1,1,0,0,0,9,0
"ID547273",1,2,3,4,445968,443845,508446,28,2137300,1,2,0,1,1,0,0,0,29,1
"ID181245",0,3,7,3,603980,614690,554823,48,3409600,1,1,0,1,1,0,0,0,17,1
"ID554984",0,0,0,2,0,0,702035,26,6773500,1,0,0,1,1,0,0,1,34,0
"ID886263",1,2,4,4,254513,238695,252100,37,9585700,0,2,1,1,1,0,0,0,6,0
"ID051959",0,3,6,2,808537,850618,930715,34,4598000,1,0,0,0,1,0,0,0,14,0
"ID067198",0,2,3,2,795698,742332,746650,27,4348200,1,0,0,1,1,0,0,0,12,0
"ID013313",1,3,10,8,453723,482962,509637,25,5953000,1,2,0,1,1,0,0,0,26,1
"ID907286",1,1,5,2,363044,332098,332900,34,3430800,1,0,0,1,1,1,0,0,29,1
"ID689627",1,2,4,6,629039,635566,724752,36,2201400,1,0,0,0,1,0,0,1,22,1
"ID465098",1,4,3,3,646913,742131,719444,28,3372800,1,0,0,1,1,0,0,0,12,0
"ID904528",1,1,1,1,557562,532696,443953,25,4038800,0,1,0,1,1,0,0,1,23,1
"ID358591",1,5,5,6,688633,703650,715860,32,8880800,1,1,0,1,1,0,0,1,5,0
"ID580660",1,4,4,4,604981,501884,403505,29,3818600,1,2,0,0,1,0,0,0,3,1
"ID686009",0,1,3,4,790545,870843,927283,25,2827300,1,0,0,0,1,0,0,0,17,0
"ID119891",1,2,0,1,228328,0,261087,29,2790900,1,1,0,1,1,0,0,0,16,0
"ID436806",1,3,2,0,218570,209223,0,26,3685700,1,0,0,1,1,0,0,0,22,0
"ID906619",1,4,8,5,173869,182224,174460,21,8831200,0,0,0,1,1,1,0,0,6,0
"ID369901",0,0,1,1,0,981963,941766,24,4875900,0,2,1,1,1,0,0,0,44,0
"ID659690",1,3,5,10,379373,377470,391769,29,7009100,1,0,0,1,1,0,0,0,12,1
"ID439287",1,3,3,3,159570,175172,185745,32,8771800,1,0,0,1,1,0,0,0,15,0
"ID320036",1,1,3,3,562981,587821,598200,23,5416000,1,0,1,1,1,0,0,1,5,1
"ID806420",1,2,5,4,455376,451663,514289,39,4877500,1,1,1,0,0,0,0,1,21,1
"ID114466",0,1,1,4,302601,328866,318193,33,3964200,1,1,0,1,1,1,0,0,27,0
"ID642771",1,1,3,3,479818,400097,371244,31,8341800,1,2,0,1,1,0,0,0,27,1
"ID349163",1,2,3,4,165997,169824,156742,25,5872300,0,0,0,0,1,0,0,0,27,0
"ID163157",1,5,5,5,460668,346992,375827,32,2149800,1,1,0,1,1,0,0,1,18,1
"ID105001",1,4,4,4,649530,670789,711715,35,5272200,1,2,0,1,1,0,0,0,6,1
"ID818634",1,2,1,1,567212,647143,615381,41,5683300,1,1,1,1,1,0,0,0,7,1
"ID886528",1,1,5,3,152855,156763,121752,26,2022200,0,0,0,0,1,0,1,0,28,0
"ID117544",1,2,4,1,213762,163928,182524,25,5717800,1,2,0,0,1,0,0,0,17,0
"ID977815",1,3,7,4,201404,163604,218899,26,4226800,1,0,0,1,1,0,1,0,0,0
"ID144410",0,3,6,7,621540,602837,527671,29,5421100,0,1,0,1,1,0,1,0,19,1
"ID888972",1,4,9,4,499527,390302,414480,34,2883200,0,1,0,1,1,0,0,0,12,1
"ID307670",0,1,2,1,594838,607932,639109,30,6946400,1,2,0,1,0,0,0,0,9,1
"ID967095",1,2,3,5,382486,366081,401880,29,6534200,0,1,0,1,0,0,0,0,27,1
"ID555249",1,3,2,1,234264,228975,228056,21,3439400,1,2,0,1,1,0,1,0,0,0
"ID403996",0,3,7,8,259169,274729,282026,23,5612200,0,0,0,1,1,0,0,0,5,0
"ID043361",0,5,6,4,337274,294011,314889,30,5664200,0,1,0,1,1,0,0,0,3,0
"ID580914",0,2,4,2,589299,598686,556545,20,6088100,0,2,0,0,0,1,0,0,10,1
"ID633504",0,2,4,4,105274,89275,73490,36,7001300,1,1,0,1,1,1,0,0,16,0
"ID000504",1,1,1,2,381033,339423,294611,29,5295100,0,0,0,1,1,0,0,0,28,0
"ID076978",1,4,9,11,185728,165677,182260,24,6010900,0,1,1,1,1,0,0,1,0,0
"ID046130",0,2,3,6,358100,378492,400294,23,4548800,0,0,0,1,1,0,0,1,5,0
"ID606038",1,4,2,3,1824168,2012870,2058977,33,3100800,1,0,0,1,1,0,0,0,27,0
"ID064826",1,2,4,3,242378,254748,251787,39,7295100,1,2,0,1,1,0,0,0,5,0
"ID568217",1,1,0,2,504993,0,456450,34,3426900,1,0,0,1,1,0,1,1,3,0
"ID011176",0,3,6,7,263508,260957,251768,38,9846800,1,0,0,0,1,1,0,0,12,0
"ID568193",1,2,7,2,536177,463221,448411,40,9224400,1,1,0,0,1,0,0,1,0,1
"ID422339",0,4,4,9,395216,425466,467024,27,6823100,1,1,1,1,1,0,0,0,26,1
"ID697028",0,1,3,4,113660,112256,126224,33,5637300,1,1,0,1,1,0,0,0,21,0
"ID058013",0,3,4,2,445044,414195,362340,23,3329600,1,2,1,0,1,0,0,0,17,1
"ID972058",0,5,7,6,625236,554492,509533,30,4607700,0,0,0,1,1,0,0,1,26,1
"ID203340",1,1,1,5,215678,212679,194527,33,9047000,1,0,0,1,1,0,0,0,14,0
"ID066201",0,2,3,2,586102,672235,591755,33,4796200,1,1,0,1,1,0,0,1,11,1
"ID032725",1,6,3,5,1567537,1749576,1629535,38,10016700,1,0,0,0,1,0,0,1,27,0
"ID727269",0,2,2,2,648290,689614,729357,18,6720400,0,1,0,0,1,0,1,0,15,0
"ID580418",1,3,3,3,362859,320531,291276,31,5464100,1,2,0,0,1,0,0,1,25,0
"ID286001",1,2,3,2,610709,645202,645872,39,3777100,0,2,1,1,1,0,0,0,14,0
"ID441665",1,2,5,5,558931,597338,558106,45,5396500,1,0,0,0,1,1,1,1,13,1
"ID873246",1,3,4,5,387493,360774,263954,28,3646500,1,0,0,1,1,0,0,0,7,0
"ID405036",0,3,6,6,219906,219999,231150,22,2685100,1,0,0,1,1,0,1,0,14,0
"ID299056",0,2,3,6,321720,314990,354079,34,3209100,1,0,0,1,1,0,0,0,14,0
"ID442307",1,4,10,7,374000,420694,400416,35,5935700,1,0,0,1,1,0,0,0,20,1
"ID531460",1,2,3,2,954227,848775,779832,41,4494600,1,0,0,1,1,0,0,0,12,0
"ID813349",0,3,5,3,425442,499339,481063,31,8185900,1,0,0,0,1,0,0,0,9,1
"ID039585",0,5,2,2,322909,319290,321248,32,5061000,0,1,0,1,1,0,0,0,18,0
"ID458408",1,1,0,2,176713,0,130764,24,4837900,1,1,0,0,1,0,0,0,1,0
"ID009605",1,3,2,3,420865,354531,362516,37,7354900,0,2,1,1,1,1,0,0,22,1
"ID452016",1,1,1,4,281611,300796,313208,26,7186800,1,0,0,1,1,0,0,0,8,1
"ID583606",1,3,4,3,374393,428480,368906,24,6573400,1,0,0,1,1,0,0,1,18,1
"ID404886",1,1,1,4,575082,554356,593716,30,4347500,1,1,0,1,1,0,0,0,10,1
"ID877762",0,1,2,1,607331,621664,684149,33,3334000,1,0,1,1,1,0,0,0,4,1
"ID234795",0,4,6,6,654366,651121,586350,23,3796800,1,1,0,0,1,0,0,1,28,1
"ID099840",1,2,4,5,986242,1069053,1176071,24,5766100,1,0,1,1,1,0,0,0,8,1
"ID431259",0,4,7,3,345633,331467,317043,20,5264500,1,1,1,1,1,0,0,0,6,0
"ID471681",0,3,4,2,932049,850124,764101,45,3329200,1,0,0,1,1,1,0,0,18,0
"ID825107",0,3,10,5,203457,230979,229664,20,5373700,0,1,1,0,1,0,0,0,29,0
"ID612841",1,4,9,2,238474,208327,207720,28,6928400,1,2,0,1,1,0,0,1,29,0
"ID409529",0,4,6,7,517855,496119,455641,35,4228000,1,1,0,1,1,0,0,0,18,1
"ID387385",1,9,14,6,443556,363844,426684,29,4603400,1,0,0,0,1,0,0,0,0,1
"ID953705",1,4,11,6,892498,938111,977556,35,6009300,0,1,0,1,1,0,0,0,0,0
"ID524808",0,3,3,0,273159,246551,0,40,8663100,1,1,0,1,1,0,0,0,8,0
"ID313466",0,4,6,3,273000,246646,251220,22,7100600,1,0,0,1,1,0,0,0,4,0
"ID643685",1,2,3,3,289507,282814,279003,35,3000700,1,1,0,1,1,0,0,1,9,0
"ID163369",1,1,1,0,463709,404361,0,27,2201600,1,0,0,1,1,0,1,0,7,1
"ID507926",0,3,3,2,437524,509198,559625,22,4568900,0,1,0,1,1,0,0,0,13,1
"ID039639",0,2,4,5,486386,426090,386234,50,6233800,1,0,0,1,1,0,0,1,11,1
"ID576425",0,2,2,3,779808,745104,720610,28,6321700,0,0,0,1,1,0,1,0,27,0
"ID686019",0,4,6,4,340611,373296,425181,28,2849900,1,2,0,1,1,0,0,0,25,1
"ID463179",1,1,0,0,1019420,0,0,45,6431900,1,0,0,0,1,0,0,1,21,0
"ID160797",1,3,9,7,666487,690916,684544,38,5881300,1,2,1,1,1,0,0,0,28,1
"ID233126",0,3,8,10,288251,281873,271086,22,3528000,0,0,1,1,1,0,0,0,24,0
"ID235986",0,5,11,4,369461,390667,315491,32,11605900,0,0,0,1,1,1,0,0,18,1
"ID505776",1,3,2,2,115505,129185,131821,29,5880900,1,1,0,0,1,0,0,0,23,0
"ID111262",1,5,6,1,122664,109791,119117,29,5809200,1,1,0,0,1,0,0,1,19,0
"ID218926",1,3,3,4,222222,196429,184470,34,6465600,1,0,0,1,1,0,0,1,20,0
"ID668809",1,2,3,4,430496,430225,402542,38,6305500,1,0,0,0,1,0,0,0,0,1
"ID610683",1,1,3,4,311190,273751,257849,34,4292800,1,2,1,1,0,0,0,1,5,0
"ID987095",0,5,8,6,447582,382648,391827,27,4658300,1,2,0,0,0,0,0,0,1,1
"ID742197",0,4,4,1,182275,182734,177624,25,3414900,1,1,0,1,1,0,0,0,7,0
"ID022361",0,2,2,0,105360,117511,0,31,7058600,1,2,0,1,0,0,0,1,21,0
"ID874432",0,4,4,3,287885,339852,322272,32,9201500,0,0,0,1,1,1,1,0,9,1
"ID944298",1,2,3,4,343844,349971,338675,24,6965900,0,0,1,0,1,0,0,1,18,0
"ID895398",0,3,2,3,772531,808828,819171,30,4374200,1,2,0,0,1,0,0,1,26,0
"ID851282",1,6,10,9,171057,137506,141137,29,5646800,0,0,0,0,1,0,0,0,13,0
"ID076580",0,2,2,3,278504,275841,238430,27,4416100,1,0,1,1,1,0,0,1,14,0
"ID390931",0,3,2,1,114008,109226,112136,27,4132700,1,1,1,0,1,0,0,0,19,0
"ID427414",0,3,3,3,456382,434974,380571,27,7795400,1,0,1,0,1,0,0,0,17,1
"ID520807",1,5,4,4,613802,659469,677034,37,5449900,1,0,0,1,1,0,0,1,18,1
"ID535877",0,8,6,1,207920,219553,243944,32,7461500,1,2,0,1,1,0,0,1,24,0
"ID128049",1,3,3,5,363136,390427,426481,24,4898000,1,1,0,1,1,0,0,1,8,1
"ID983225",1,4,2,1,498026,495845,421089,25,2864400,0,0,0,0,1,0,0,0,1,1
"ID597805",1,3,0,0,155283,0,0,24,2379800,1,0,1,1,1,0,0,0,16,0
"ID052050",0,7,7,4,499915,469453,497129,22,4722800,0,0,0,1,1,0,0,1,15,1
"ID704581",0,2,1,2,606550,594237,412893,29,5250200,1,1,1,1,1,0,1,1,24,1
"ID289227",1,1,1,1,620263,669795,721575,26,8257100,0,2,0,0,1,0,0,0,15,0
"ID298844",1,5,4,0,151389,154311,0,24,4769800,1,0,0,1,0,0,0,0,28,0
"ID253396",0,6,1,1,1234583,1196952,1212806,23,6318100,0,1,0,0,1,0,0,0,17,0
"ID339582",0,4,2,3,291633,296011,301268,20,4567300,0,2,1,1,1,0,0,0,6,0
"ID021118",1,2,1,2,703798,661854,568346,27,8112000,1,1,1,0,1,0,0,0,1,0
"ID498198",0,4,1,1,167100,196697,213319,28,6717600,1,0,0,0,1,0,0,0,21,0
"ID902065",0,6,6,8,491375,550751,520662,24,9443400,1,2,0,1,1,0,0,1,6,1
"ID504431",0,1,3,3,292190,296800,299311,27,2121700,1,0,0,1,1,0,1,0,3,0
"ID569332",1,6,2,2,960908,1036817,1097824,29,1688100,0,2,0,0,0,0,0,0,8,0
"ID900963",1,4,3,4,353292,457936,405228,30,4837900,1,0,0,1,0,0,0,0,9,1
"ID844116",0,4,2,3,386528,403348,337810,34,4742100,1,0,0,1,0,0,0,1,26,1
"ID300411",1,1,1,2,403108,411719,404981,28,3438600,1,2,0,0,1,0,0,1,9,1
"ID565992",1,2,5,2,1085425,926186,1102282,40,3135000,0,0,0,1,0,0,0,0,16,0
"ID160103",0,3,4,3,833911,926032,924342,27,3155800,1,1,0,1,1,0,1,1,26,0
"ID222746",1,3,5,2,367263,338510,307368,25,8016000,0,1,0,0,1,0,0,0,6,0
"ID272302",1,3,11,4,477347,547425,571653,25,4611500,1,0,0,1,1,0,0,1,22,1
"ID064612",0,1,0,5,554852,0,552124,24,3993400,1,0,1,1,1,0,0,0,25,0
"ID155654",1,2,0,6,538895,0,565151,24,3722000,1,2,0,1,0,0,0,0,2,1
"ID578903",0,2,4,6,478945,501257,530996,28,8350700,1,1,0,1,1,0,0,0,4,0
"ID242197",0,5,8,5,321990,347512,370769,29,5759300,1,1,0,1,1,0,0,0,17,1
"ID718588",1,1,1,1,839152,735939,836062,32,3863100,0,2,0,1,0,0,0,1,18,0
"ID475595",0,3,3,3,1430893,1339995,1625293,30,2589700,1,0,0,1,1,0,0,0,26,0
"ID422006",0,1,0,1,221261,0,179199,32,7915200,1,1,0,1,1,0,0,0,7,1
"ID495971",1,2,3,1,267133,297223,201979,32,6655000,1,1,0,1,1,0,0,0,24,0
"ID723734",1,2,5,3,527146,546392,543891,29,5664600,1,2,0,0,1,0,1,0,3,1
"ID546533",0,4,4,1,517547,546398,591698,37,2638600,1,2,1,1,1,0,0,1,20,1
"ID156434",0,3,4,5,619337,555071,665819,35,7646300,0,0,1,1,1,1,0,0,8,1
"ID543092",1,1,3,3,603296,592296,617560,30,7778000,1,0,0,1,1,0,0,0,14,1
"ID989993",1,2,2,1,296008,313007,311187,26,5078500,1,0,0,1,1,0,0,0,7,0
"ID438408",0,4,5,3,773653,738176,881267,37,3055600,1,2,1,1,1,0,0,0,7,0
"ID877434",1,1,3,1,521422,592918,564500,38,6852400,1,1,1,1,1,1,0,0,13,1
"ID429102",0,2,4,2,443049,545596,476477,37,3872600,1,0,0,0,1,0,0,1,0,1
"ID177401",1,1,0,3,304090,0,284721,24,3335900,1,2,0,1,1,0,1,1,7,0
"ID300266",1,3,4,5,859936,762458,706224,29,5033300,0,0,0,1,1,0,0,0,1,0
"ID510113",1,4,6,8,510587,485330,516807,32,14088700,1,2,0,1,0,0,0,0,14,1
"ID954617",1,3,2,5,363037,405627,413363,22,7743300,1,2,0,1,1,1,0,0,5,1
"ID138910",0,3,1,4,1141657,1169927,1237265,31,4135900,1,0,1,0,1,0,0,0,26,0
"ID550754",1,0,1,1,0,389815,452264,27,6731700,0,1,0,1,1,0,1,1,50,1
"ID556147",0,8,4,3,230174,254480,258969,24,3294200,0,2,0,1,1,0,0,0,4,0
"ID496561",0,3,1,3,380855,394101,462976,27,6169900,1,1,0,1,1,0,0,1,4,1
"ID445482",1,4,1,0,599022,596225,0,27,3261300,1,1,0,0,1,0,0,0,25,0
"ID156485",0,1,3,3,755918,585172,614069,27,4031900,1,2,0,1,1,0,0,1,6,1
"ID091190",1,6,7,9,227322,260018,283143,31,7617800,1,0,1,1,1,0,0,0,8,0
"ID138640",0,4,5,5,265792,249028,249236,26,9045900,1,0,0,1,1,0,0,0,19,0
"ID569076",1,2,5,4,675271,779444,820822,26,4998800,1,1,0,1,1,0,0,1,26,1
"ID100863",1,3,8,4,265821,252751,219669,28,5750100,1,0,0,1,1,0,0,0,6,0
"ID173849",1,6,6,3,456084,495682,432601,28,3126000,0,0,0,1,1,0,0,0,1,1
"ID442527",0,3,2,4,523948,584389,632663,25,4371800,1,0,1,1,1,0,0,0,27,1
"ID839649",0,2,2,4,448461,493793,486930,33,7725700,0,0,0,1,1,0,0,0,28,1
"ID910184",0,2,5,5,1095754,998404,873936,32,1753900,1,0,0,0,1,0,0,1,25,0
"ID868392",0,3,6,4,358505,382191,325081,26,4109200,0,2,0,1,1,0,0,0,14,1
"ID531836",0,4,4,2,421005,385484,429086,25,7077900,1,0,0,1,1,0,0,0,14,1
"ID794405",0,1,3,1,608328,573189,640902,22,3057400,1,2,0,1,1,0,0,0,15,1
"ID194663",0,5,7,7,290376,287220,329690,32,8600600,1,2,0,0,1,0,0,1,12,0
"ID611236",0,3,6,4,643919,611625,737240,21,3097200,1,2,0,1,1,0,0,0,15,1
"ID476867",1,4,8,10,537574,552739,561986,32,7845600,1,0,0,1,1,0,0,0,15,1
"ID274101",1,4,2,0,399880,408579,0,33,3767100,0,0,0,1,1,0,0,0,23,0
"ID247769",1,4,4,0,179096,186062,0,28,8850000,1,2,0,0,1,0,0,1,26,0
"ID229060",1,4,4,3,473570,514634,534011,27,4017900,0,0,0,1,0,0,0,0,28,1
"ID828476",1,5,6,2,899579,941417,817148,28,2879800,1,1,1,1,1,0,0,1,19,0
"ID883737",1,5,4,4,803761,958698,1000415,39,1491900,1,1,0,0,1,0,0,0,4,0
"ID370783",0,6,7,3,452317,381013,356391,31,3819100,1,1,0,1,1,0,0,0,3,1
"ID988163",0,2,2,1,325835,268928,261599,31,4149700,1,2,0,1,1,0,0,0,22,0
