nasabah,tunaiATM,nontunaiATM,internet,debitbelanja,usia17_25,usia26_55,usia56,saldoharian,jeniskelamin
57,3,6,2,8,0,1,0,4.654543872,1
58,7,2,0,10,0,0,1,1.140841627,0
59,9,0,1,9,0,1,0,1.191743408,0
60,8,0,2,1,1,0,0,0.837496169,1
61,2,4,2,12,1,0,0,2.588800862,1
62,1,5,2,3,0,1,0,25.44210086,0
63,9,0,1,9,0,1,0,0.816820761,0
64,10,1,1,11,0,0,1,0.794392435,0
65,10,1,1,0,1,0,0,0.570917512,1
66,4,4,1,8,0,1,0,3.801935882,1
67,8,1,0,8,0,1,0,0.945810412,1
68,5,2,3,9,0,1,0,1.399596919,0
69,8,0,1,8,0,1,0,1.571266282,1
70,2,3,2,13,1,0,0,4.929612396,0
71,8,3,0,3,1,0,0,0.871115396,1
72,5,3,2,14,0,1,0,5.383505536,1
73,8,0,1,10,1,0,0,1.36641824,0
74,6,2,0,0,1,0,0,0.727651867,1
75,5,7,1,12,0,1,0,1.599003206,1
76,13,2,0,7,0,1,0,0.597543105,0
77,1,7,0,7,0,1,0,1.677157566,0
78,13,3,3,2,1,0,0,0.485587512,1
79,8,1,0,0,1,0,0,0.470232085,0
80,11,2,1,10,1,0,0,1.903565683,1
81,14,1,3,0,1,0,0,0.43781205,1
82,10,2,1,1,1,0,0,0.513275722,0
83,11,0,1,1,0,0,1,0.706019042,1
84,8,2,2,1,1,0,0,0.459474559,1
85,10,0,1,1,1,0,0,0.681264069,0
86,10,0,1,9,0,1,0,0.990082771,1
87,11,0,0,9,0,1,0,0.514377861,0
88,11,1,0,1,1,0,0,0.460869281,1
89,2,3,0,11,0,1,0,1.89278407,0
90,6,1,1,10,0,1,0,1.915928898,1
91,2,5,1,9,0,1,0,4.232995314,1
92,2,3,0,13,0,1,0,1.312376388,1
93,9,0,0,2,0,0,1,0.692388154,1
94,6,3,1,9,0,1,0,2.603422214,1
95,10,0,4,11,0,1,0,0.5669681,0
96,3,3,0,13,0,0,1,5.458999354,1
97,11,0,0,8,0,0,1,1.512315805,0
98,13,1,1,2,0,0,1,0.711068709,0
99,1,5,2,9,0,1,0,2.260608379,1
100,12,1,1,0,0,0,1,0.582848815,1
101,6,0,3,9,0,1,0,1.937149336,1
102,11,1,0,0,1,0,0,0.80333965,0
103,7,1,1,0,1,0,0,0.416524572,1
104,12,0,1,0,0,0,1,0.36008328,1
105,11,0,0,9,1,0,0,1.928794279,0
106,2,5,3,11,0,1,0,2.194281547,1
107,0,3,0,10,0,1,0,3.292857761,0
108,8,1,0,1,0,0,1,0.679591029,1
109,4,0,1,1,0,0,1,0.422040801,1
110,9,2,2,11,0,1,0,1.878332204,0
111,2,2,0,11,1,0,0,2.708486595,1
112,9,0,1,7,0,1,0,1.576259259,0
113,8,1,1,3,1,0,0,0.370323811,0
114,8,1,4,1,0,0,1,0.494368643,1
115,5,2,0,12,0,1,0,5.349300198,0
116,5,1,2,9,0,1,0,2.311548186,0
117,3,3,1,10,0,1,0,5.293809987,0
118,10,0,0,11,0,1,0,0.76731435,0
119,2,6,3,11,0,1,0,2.242974298,0
120,11,1,0,8,0,1,0,1.685599251,0
121,8,3,3,0,1,0,0,0.750449263,1
122,13,2,0,9,1,0,0,1.075865921,0
123,3,3,0,9,1,0,0,1.067640039,0
124,1,6,1,10,0,1,0,1.606401972,1
125,5,1,0,1,0,0,1,0.767290584,0
126,11,2,2,0,1,0,0,0.504244827,0
127,11,1,1,11,0,1,0,1.860541129,0
128,11,2,0,2,1,0,0,0.565859495,1
129,8,2,1,1,1,0,0,0.404268462,1
130,8,0,1,2,0,1,0,0.647083405,1
131,11,2,2,7,0,1,0,1.069533467,0
132,12,3,1,1,1,0,0,0.850029182,0
133,7,1,1,0,1,0,0,0.678624331,0
134,9,1,0,0,1,0,0,0.778704798,1
135,9,1,2,0,1,0,0,0.609484792,0
136,1,4,0,12,1,0,0,2.818240632,1
137,4,1,1,13,0,1,0,5.900217149,0
138,12,0,0,10,0,1,0,0.662138892,0
139,2,7,0,4,0,1,0,16.23671337,0
140,8,0,1,8,1,0,0,1.460743513,0
141,1,3,1,10,0,0,1,3.223181385,1
142,12,1,1,0,0,0,1,0.357800452,1
143,8,1,0,12,0,1,0,1.065299835,0
144,11,2,0,0,0,0,1,0.435625985,0
145,6,6,0,11,1,0,0,4.255479885,1
146,10,2,0,9,1,0,0,1.261039078,1
147,8,0,2,12,0,1,0,0.675333746,1
148,11,2,3,2,1,0,0,0.871901081,0
149,12,1,0,12,0,1,0,1.4485112,0
150,8,0,2,1,1,0,0,0.795888908,1
151,8,0,3,0,1,0,0,0.681645887,1
152,6,5,0,10,1,0,0,2.830503544,0
153,7,1,0,1,0,1,0,0.848269953,1
154,0,2,4,4,0,1,0,12.48785364,1
155,4,4,6,4,0,1,0,14.72202758,1
156,7,1,0,11,0,1,0,1.726165103,0
157,2,2,1,13,0,1,0,1.317110356,0
158,8,2,1,2,1,0,0,0.723610391,1
159,12,0,1,9,0,1,0,1.142797286,0
160,5,1,0,10,0,1,0,1.12881627,1
161,11,2,2,10,0,1,0,1.23601982,0
162,11,3,2,0,1,0,0,0.441902333,1
163,4,7,2,9,0,1,0,4.811692955,0
164,8,2,3,1,1,0,0,0.687982967,1
165,10,1,0,12,0,1,0,1.547666221,0
166,6,6,1,10,0,1,0,4.360635804,0
167,13,4,1,1,1,0,0,0.678209717,1
168,11,0,0,1,0,0,1,0.379712583,1
169,11,1,0,1,1,0,0,0.482268122,0
170,6,0,1,8,1,0,0,1.941739967,1
171,0,2,0,2,0,1,0,10.94043389,1
172,7,0,2,11,0,1,0,0.658370292,0
173,9,0,0,0,1,0,0,0.321381692,1
174,10,0,3,10,0,1,0,0.927266296,1
175,11,2,0,11,0,1,0,1.788148931,0
176,0,3,4,3,0,0,1,14.20154095,1
177,10,3,1,9,0,1,0,0.842468359,1
178,8,3,1,7,0,0,1,1.361251567,1
179,11,0,0,12,0,1,0,1.253559732,0
180,8,0,0,1,1,0,0,0.421949215,1
181,0,0,7,2,0,1,0,5.192265509,1
182,3,0,3,9,0,1,0,1.014895104,0
183,11,0,0,7,0,1,0,1.010424228,0
184,11,2,1,0,1,0,0,0.732892587,1
185,9,0,1,2,0,0,1,0.330052153,1
186,7,1,2,0,0,0,1,0.604695977,1
187,10,0,0,0,0,0,1,0.823227858,0
188,8,1,0,9,0,1,0,0.916942579,0
189,4,4,2,6,1,0,0,3.564701291,0
190,8,0,1,1,1,0,0,0.447213223,1
191,7,1,0,2,0,0,1,0.585769247,1
192,0,0,0,8,1,0,0,1.948821913,1
193,12,3,0,10,0,1,0,1.582223353,0
194,4,2,1,12,0,1,0,2.087457536,1
195,5,4,3,10,0,1,0,1.420742213,0
196,8,1,1,0,0,1,0,0.62375912,1
197,7,2,0,8,0,1,0,1.760936017,0
198,9,1,0,11,0,1,0,0.555274421,0
199,10,1,0,10,1,0,0,1.981806359,0
200,10,0,1,0,1,0,0,0.616361639,1
201,8,1,4,1,0,1,0,0.821576127,1
202,9,0,3,9,0,0,1,0.956589069,1
203,10,1,1,0,0,0,1,0.746938579,0
204,9,0,2,11,0,1,0,1.180657723,0
205,10,0,0,2,0,1,0,0.8050719,1
206,11,2,0,0,0,0,1,0.626005234,0
207,9,0,0,8,0,1,0,1.66527393,0
208,1,3,1,11,0,1,0,2.225571739,1
209,4,5,0,13,0,1,0,4.447221215,0
210,4,4,2,11,0,1,0,2.48528448,1
211,8,1,0,2,1,0,0,0.326010708,0
212,3,7,2,12,0,1,0,4.324839468,1
213,10,3,0,8,0,1,0,0.933537296,0
214,10,1,0,10,0,0,1,0.785292666,0
215,8,0,0,10,0,0,1,1.172658991,0
216,12,2,3,11,0,0,1,1.971626801,1
217,7,0,1,1,1,0,0,0.714283715,1
218,10,2,0,2,1,0,0,0.634192125,1
219,7,1,1,12,0,1,0,0.591482647,0
220,0,6,0,9,0,1,0,4.108740191,1
221,6,0,1,8,0,1,0,1.775903198,0
222,3,3,0,11,1,0,0,1.393589701,1
223,4,5,1,12,0,1,0,4.487474849,0
224,10,1,0,1,1,0,0,0.769289288,0
225,9,0,1,1,0,0,1,0.682216085,1
226,7,4,2,2,0,0,1,0.438637686,1
227,0,1,6,3,0,1,0,24.24417865,1
228,0,6,5,2,0,1,0,8.525833425,0
229,2,5,1,10,0,1,0,1.735722843,1
230,8,1,0,9,1,0,0,0.673670785,0
231,9,1,0,0,0,0,1,0.718903595,1
232,8,1,0,0,1,0,0,0.385173171,0
233,8,0,0,0,1,0,0,0.505891625,1
234,1,5,0,10,1,0,0,2.866261666,1
235,9,0,1,9,0,1,0,0.972109974,0
236,9,1,1,8,0,1,0,1.336580592,0
237,12,4,2,0,1,0,0,0.590943054,1
238,9,0,0,0,0,0,1,0.849053031,1
239,3,7,1,11,0,1,0,2.710675464,1
240,0,6,0,13,0,1,0,2.517378869,0
241,10,1,0,2,1,0,0,0.749552243,0
242,3,3,1,8,0,1,0,2.428836015,0
243,0,2,2,12,0,1,0,2.784291866,1
244,9,0,1,0,1,0,0,0.405374757,0
245,4,3,0,13,1,0,0,4.232192693,1
246,2,3,1,12,0,1,0,2.175532001,1
247,10,1,2,9,0,0,1,1.841671719,1
248,11,0,0,0,1,0,0,0.339073239,1
249,6,5,0,11,0,1,0,2.217483525,1
250,8,5,1,10,1,0,0,5.068380825,1
251,4,5,1,10,0,1,0,4.412002311,0
252,9,2,1,1,1,0,0,0.856696946,0
253,8,1,0,0,1,0,0,0.811026404,1
254,4,2,0,1,0,1,0,0.863662495,1
255,10,1,2,1,0,0,1,0.585017431,1
256,11,0,0,3,1,0,0,0.758155169,1
257,1,3,5,3,0,1,0,29.93067777,1
258,10,1,2,9,0,1,0,0.675681835,0
259,8,1,2,6,0,1,0,1.011907835,0
260,10,2,0,11,0,1,0,1.564747257,0
261,11,0,0,1,0,0,1,0.396646536,0
262,9,1,0,13,0,1,0,1.967120804,0
263,11,0,0,4,1,0,0,0.381072954,0
264,1,4,2,0,0,1,0,12.11591909,1
265,5,3,2,12,0,1,0,5.260575717,0
266,4,4,1,12,0,1,0,2.297083371,1
267,8,0,2,2,1,0,0,0.676959517,1
268,6,1,1,7,1,0,0,0.548411331,1
269,0,7,7,2,0,1,0,22.93918241,0
270,6,1,0,1,1,0,0,0.436330129,1
271,8,0,2,9,0,1,0,1.796441521,0
272,1,5,5,4,0,1,0,9.638679401,0
273,8,0,0,13,0,1,0,1.99860791,1
274,12,1,1,11,0,1,0,1.487631739,1
275,6,1,1,3,1,0,0,0.450622502,1
276,7,0,1,2,0,0,1,0.499897215,1
277,10,1,1,2,1,0,0,0.870375703,1
278,8,1,0,0,1,0,0,0.887925243,1
279,11,0,0,2,1,0,0,0.791549952,1
280,1,6,1,11,0,1,0,1.313390327,0
281,10,0,0,1,0,0,1,0.876904253,0
282,10,3,1,8,0,1,0,1.112285643,0
283,10,1,1,10,0,0,1,0.72637321,1
284,13,2,0,9,0,0,1,1.613672527,0
285,2,5,0,11,0,1,0,1.957450974,0
286,2,7,3,13,0,1,0,4.8655375,1
287,12,1,2,6,0,1,0,1.329020174,1
288,9,0,1,2,0,0,1,0.708009099,1
289,2,5,0,11,0,1,0,2.369742352,1
290,12,0,1,11,0,0,1,0.833732527,0
291,12,0,1,12,0,1,0,0.96904641,0
292,3,3,1,8,0,1,0,3.545780943,0
293,9,2,1,8,0,1,0,0.678045209,0
294,1,5,0,10,0,1,0,4.787208145,1
295,9,1,0,2,1,0,0,0.367499067,1
296,9,0,0,3,1,0,0,0.815164188,1
297,10,1,1,0,1,0,0,0.347738577,1
298,10,2,1,0,0,0,1,0.624058961,0
299,2,4,1,11,0,1,0,5.829893776,1
300,0,3,6,4,0,1,0,6.037619391,1
301,11,1,0,2,0,0,1,0.892338124,1
302,0,3,7,5,0,1,0,5.418195932,1
303,9,1,1,11,1,0,0,1.922788259,1
304,3,3,1,10,0,0,1,3.511866727,1
305,9,1,2,8,0,1,0,0.931927584,0
306,7,1,3,11,1,0,0,0.603588065,0
307,5,2,2,0,1,0,0,0.898303466,1
308,1,1,0,6,0,1,0,2.35592467,1
309,1,3,0,10,0,1,0,5.823590897,0
310,13,2,2,7,0,1,0,0.944981952,0
311,0,4,5,2,0,1,0,20.42141296,1
312,10,0,2,0,0,0,1,0.48713051,0
313,11,2,1,0,0,0,1,0.724020407,1
314,5,6,2,10,0,1,0,2.800318769,0
315,9,0,0,1,0,0,1,0.807411579,0
316,5,3,0,12,0,1,0,3.782950331,0
317,2,2,0,11,0,1,0,5.116502026,1
318,6,1,0,0,1,0,0,0.78633814,1
319,4,6,3,9,0,1,0,2.365779743,0
320,4,3,2,8,0,1,0,1.918119679,1
321,4,5,0,10,0,0,1,3.135540363,0
322,2,4,8,2,0,1,0,19.79954896,1
323,5,0,0,9,0,0,1,0.73356621,0
324,10,1,0,0,0,0,1,0.602668657,1
325,11,0,1,7,0,1,0,1.524835205,0
326,12,0,1,2,1,0,0,0.663998877,1
327,6,3,2,12,1,0,0,4.809837961,1
328,2,3,0,11,0,1,0,3.483557831,1
329,10,0,0,2,0,1,0,0.59637534,0
330,6,5,0,7,0,1,0,1.970873275,1
331,3,1,1,14,0,1,0,2.675581678,0
332,2,3,0,12,0,1,0,1.774409804,1
333,9,1,0,0,0,1,0,0.4333794,1
334,10,0,1,11,0,0,1,0.743932009,0
335,11,0,2,1,1,0,0,0.803985898,1
336,11,1,1,7,0,1,0,1.195405389,0
337,4,5,0,14,0,1,0,2.450828158,0
338,10,2,2,0,0,1,0,0.447479223,1
339,1,3,6,4,0,1,0,29.88539129,1
340,7,1,0,9,0,1,0,0.594270718,1
341,8,1,0,0,0,1,0,0.365500349,0
342,10,1,0,9,0,0,1,0.620036892,1
343,10,3,0,0,0,0,1,0.591245106,1
344,3,4,1,7,1,0,0,4.103224675,1
345,7,0,2,13,0,1,0,1.870466016,0
346,2,2,1,10,0,1,0,3.806484839,0
347,10,2,5,1,0,0,1,0.395695201,0
348,7,1,2,1,1,0,0,0.671002315,0
349,10,0,1,13,0,1,0,1.013744147,0
350,9,1,0,1,1,0,0,0.601111118,0
351,1,7,2,3,1,0,0,15.82380316,1
352,11,1,1,1,0,1,0,0.611806894,1
353,12,1,0,1,1,0,0,0.464581292,0
354,5,5,1,13,0,0,1,3.046145729,0
355,9,1,1,7,0,1,0,1.089856166,0
356,10,1,0,1,0,0,1,0.57416607,1
357,7,4,1,12,0,1,0,5.781673149,1
358,8,0,2,8,0,1,0,1.601526461,1
359,9,0,0,9,0,1,0,0.681569909,0
360,12,1,0,1,0,0,1,0.762975647,1
361,9,0,0,0,1,0,0,0.66743511,1
362,8,0,0,9,0,1,0,0.792926866,0
363,0,2,4,4,0,1,0,13.43362738,0
364,10,1,0,10,0,1,0,0.920512932,0
365,9,0,0,2,1,0,0,0.506752668,1
366,5,1,1,0,1,0,0,0.820587229,0
367,0,3,6,5,0,1,0,14.80417666,1
368,9,1,0,0,1,0,0,0.799795059,1
369,8,1,0,4,1,0,0,0.338431479,1
370,10,1,2,12,0,1,0,1.886739022,0
371,1,3,0,10,0,0,1,4.266217328,1
372,2,5,1,9,1,0,0,1.348253924,1
373,11,0,0,1,1,0,0,0.335530948,1
374,3,0,1,10,0,1,0,1.576221292,0
375,13,1,0,8,0,1,0,0.716927614,0
376,12,1,0,0,1,0,0,0.408697803,1
377,11,0,1,9,0,1,0,1.097989108,1
378,7,1,1,10,0,1,0,1.343908547,0
379,7,1,0,12,1,0,0,0.875956638,0
380,7,1,0,1,1,0,0,0.315452699,1
381,9,0,2,0,1,0,0,0.807860759,1
382,3,5,0,14,0,1,0,4.02663745,0
383,4,1,1,5,1,0,0,1.175748501,0
384,7,2,2,0,1,0,0,0.551487568,0
385,11,2,2,8,0,1,0,0.562998938,1
386,12,0,2,2,0,0,1,0.850001115,1
387,9,0,0,8,0,1,0,0.868807823,0
388,9,1,0,1,0,1,0,0.481304539,0
389,2,4,10,2,0,1,0,27.75819699,0
390,9,1,0,2,1,0,0,0.709097458,1
391,8,0,1,0,1,0,0,0.380466705,0
392,6,3,2,4,0,0,1,0.314136824,1
393,8,0,1,1,0,0,1,0.548785073,0
394,12,1,1,1,0,1,0,0.653597592,1
395,11,3,0,7,0,1,0,1.679138548,1
396,1,3,4,4,0,1,0,23.30544776,1
397,10,1,3,1,1,0,0,0.697684741,1
398,4,5,0,11,0,1,0,4.610693055,1
399,6,0,4,1,0,0,1,0.39736242,1
400,5,4,0,12,0,1,0,4.497670882,1
401,8,1,1,0,0,0,1,0.638142993,0
402,9,1,2,8,0,1,0,1.711664352,1
403,0,3,2,12,0,1,0,4.489024588,0
404,9,1,1,9,0,1,0,0.635660001,0
405,1,6,1,9,0,1,0,1.515498793,1
406,10,1,2,10,0,1,0,1.558702792,0
407,8,0,1,1,1,0,0,0.473990984,0
408,9,3,1,0,1,0,0,0.752028229,0
409,7,0,1,2,1,0,0,0.838877917,1
410,8,0,3,9,0,1,0,0.684433499,1
411,12,0,0,10,0,1,0,0.838733591,0
412,13,2,0,7,0,0,1,1.956142304,0
413,9,3,0,9,0,1,0,1.682820261,1
414,9,3,1,1,1,0,0,0.569810173,0
415,11,0,2,10,0,0,1,0.842332103,1
416,3,6,1,12,0,1,0,2.991020183,0
417,10,2,1,6,0,1,0,1.13549123,0
418,9,0,2,1,1,0,0,0.897611536,1
419,2,7,3,10,0,1,0,4.115685194,0
420,10,1,1,3,1,0,0,0.421668218,1
421,1,5,2,2,0,1,0,12.05722393,1
422,11,2,1,12,0,1,0,0.989545984,0
423,3,3,2,11,0,1,0,2.512518351,0
424,9,2,1,9,0,1,0,0.962211292,0
425,11,0,0,4,1,0,0,0.322256753,1
426,7,0,1,0,1,0,0,0.51924639,0
427,10,0,1,0,1,0,0,0.399128448,0
428,0,2,3,4,0,1,0,20.21300229,1
429,3,5,2,10,1,0,0,2.628089451,1
430,7,1,2,7,0,0,1,0.724931396,1
431,4,4,1,11,0,1,0,3.538330756,0
432,9,0,1,1,1,0,0,0.778168045,0
433,9,2,1,0,1,0,0,0.410898188,1
434,6,1,1,9,0,1,0,1.08425697,0
435,1,3,1,9,0,1,0,2.335049875,0
436,2,3,2,9,0,1,0,1.107082195,1
437,9,1,3,0,0,0,1,0.422845534,1
438,7,1,0,8,0,0,1,1.382477518,1
439,3,2,2,12,0,1,0,4.467000353,1
440,9,1,1,10,0,1,0,0.775757422,0
441,9,0,1,1,0,0,1,0.740313715,0
442,10,1,0,2,0,0,1,0.751947724,0
443,8,1,0,10,0,1,0,0.514051954,1
444,10,0,1,9,0,1,0,0.531346369,0
445,13,1,0,1,0,1,0,0.47195225,0
446,10,2,1,0,1,0,0,0.685958628,0
447,7,8,1,11,0,1,0,2.772053173,1
448,10,1,1,0,0,0,1,0.79212188,1
449,9,0,1,1,1,0,0,0.852769646,0
450,1,2,1,8,0,1,0,3.067068351,1
451,1,6,0,10,0,1,0,5.873763776,1
452,9,1,0,11,0,1,0,1.401539515,0
453,6,7,0,10,0,1,0,2.529532949,0
454,10,2,0,1,1,0,0,0.697167032,1
455,7,1,1,11,0,1,0,1.97074775,0
456,7,2,0,9,0,1,0,0.875798771,1
457,8,0,1,1,1,0,0,0.775538412,1
458,2,4,0,11,1,0,0,3.030930072,1
459,8,0,0,0,0,0,1,0.856413252,1
460,11,1,4,1,0,0,1,0.342272553,1
461,4,4,1,12,0,1,0,1.326129061,0
462,7,1,1,1,0,0,1,0.832831318,0
463,2,4,0,11,1,0,0,4.431734237,1
464,2,10,0,10,0,1,0,2.378632115,0
465,0,7,4,2,0,1,0,26.07155385,0
466,10,0,1,2,0,1,0,0.710868413,0
467,11,0,0,8,0,1,0,1.301819514,1
468,10,2,0,11,0,1,0,1.089346392,0
469,9,2,1,2,0,0,1,0.582873599,0
470,8,0,0,2,1,0,0,0.398458559,1
471,9,1,1,9,0,1,0,0.95007942,0
472,11,1,0,1,1,0,0,0.545433829,0
473,9,2,1,11,0,1,0,1.02061625,1
474,10,0,0,1,1,0,0,0.530059988,0
475,11,1,0,2,0,0,1,0.712119414,1
476,9,0,1,1,0,0,1,0.485681949,0
477,1,3,0,11,0,1,0,2.282649479,0
478,10,0,2,10,0,1,0,1.783982942,0
479,8,1,1,1,0,0,1,0.702420321,1
480,9,1,0,12,0,1,0,0.732742673,1
481,7,1,1,0,1,0,0,0.604201668,0
482,11,1,0,1,1,0,0,0.370261483,1
483,1,3,2,7,0,1,0,2.650049392,0
484,10,1,1,11,0,1,0,1.562347835,0
485,9,1,2,3,1,0,0,0.509453012,1
486,9,1,2,8,0,1,0,1.822617947,0
487,4,4,0,11,0,1,0,5.266363004,1
488,6,1,0,8,0,0,1,1.533548976,0
489,2,2,3,3,0,1,0,13.83513319,0
490,3,1,0,13,0,1,0,5.411077538,1
491,4,8,3,7,1,0,0,1.793424026,0
492,11,1,0,9,0,1,0,1.774627935,0
493,8,1,1,0,0,0,1,0.41079556,1
494,8,1,0,1,0,0,1,0.802154474,1
495,8,0,1,1,1,0,0,0.484162993,1
496,11,2,2,11,0,0,1,0.618522169,0
497,9,3,3,0,0,0,1,0.870021298,1
498,9,3,2,0,0,0,1,0.411462417,1
499,11,1,2,0,1,0,0,0.498162231,0
500,8,0,1,0,1,0,0,0.507526653,1
501,0,9,5,5,0,1,0,15.24672577,1
502,12,2,1,0,0,0,1,0.823334102,0
503,9,0,0,8,0,1,0,1.867877059,1
504,11,0,0,10,0,1,0,0.527799728,0
505,12,1,0,11,1,0,0,1.953335436,0
506,5,1,2,2,1,0,0,0.441296046,1
507,3,1,2,12,0,1,0,1.676040868,1
508,10,0,2,6,0,1,0,1.260135392,0
509,8,2,2,6,0,1,0,1.282712927,0
510,9,2,0,0,0,0,1,0.890567672,1
511,0,9,1,3,0,1,0,22.13705467,1
512,1,4,2,10,0,1,0,3.001330158,0
513,10,0,0,0,1,0,0,0.483875388,1
514,9,1,0,7,0,1,0,1.204200628,0
515,11,1,2,7,1,0,0,1.955734025,0
516,11,0,1,1,0,1,0,0.782517523,1
517,12,1,0,7,0,1,0,0.94689049,0
518,3,4,0,12,1,0,0,5.79598531,0
519,10,2,0,1,0,0,1,0.679279639,1
520,7,7,1,13,0,1,0,5.462996066,1
521,11,0,1,1,1,0,0,0.826670594,0
522,3,0,2,12,0,0,1,3.009276156,1
523,12,2,0,7,0,0,1,0.773158155,0
524,0,11,1,5,0,1,0,17.81050378,1
525,2,1,1,2,0,1,0,25.40388687,1
526,3,3,0,10,0,1,0,3.214662322,1
527,9,0,2,8,0,0,1,0.91333913,0
528,7,3,1,11,0,1,0,3.768515568,1
529,7,1,1,7,0,1,0,1.887047483,0
530,8,1,1,0,0,0,1,0.496309429,1
531,5,0,1,12,1,0,0,1.659304676,0
532,4,2,3,4,0,1,0,5.304958946,1
533,7,1,1,1,1,0,0,0.388048455,1
534,8,1,1,1,0,0,1,0.400466027,1
535,11,0,0,2,1,0,0,0.425652629,1
536,7,0,1,12,0,1,0,1.386216284,1
537,9,1,4,10,0,1,0,1.616826586,0
538,8,0,1,9,0,0,1,1.311207102,0
539,9,2,1,2,0,0,1,0.352012539,0
540,8,0,1,2,0,0,1,0.72504239,0
541,9,1,1,2,0,0,1,0.563304806,0
542,2,8,2,13,0,1,0,1.800272983,0
543,10,2,1,6,0,0,1,0.373286101,1
544,2,1,1,12,1,0,0,2.528833141,0
545,7,4,1,8,0,1,0,2.286331447,1
546,2,5,1,13,1,0,0,1.41063644,1
547,10,0,1,0,1,0,0,0.622337946,1
548,2,5,1,15,0,0,1,5.555370999,1
549,9,0,1,7,0,0,1,1.142815483,0
550,9,0,1,0,0,0,1,0.833520088,1
551,8,1,0,9,0,1,0,1.191301151,1
552,2,3,1,14,0,1,0,5.259142122,1
553,6,1,0,0,1,0,0,0.850459129,1
554,10,0,1,3,0,0,1,0.852332646,1
555,11,1,2,7,0,1,0,0.906403498,1
556,4,6,0,13,0,1,0,4.550518397,1
557,5,1,1,1,1,0,0,0.738354653,0
558,5,1,2,1,1,0,0,0.689794447,0
559,10,0,0,11,0,0,1,1.539709359,0
560,10,1,0,10,0,0,1,1.328477458,1
561,5,1,2,2,0,0,1,0.349987077,1
562,10,3,0,9,0,1,0,1.890459896,0
563,10,0,2,8,0,1,0,0.968857523,0
564,5,3,0,8,0,1,0,1.58147518,0
565,8,3,2,12,0,0,1,1.102942688,0
566,2,3,3,4,0,1,0,22.71467421,0
567,2,2,2,13,0,1,0,4.218651944,0
568,10,3,1,10,0,1,0,1.932659906,0
569,7,0,1,2,1,0,0,0.739311538,1
570,6,3,0,11,0,1,0,0.832464255,1
571,10,1,1,10,0,1,0,1.237104226,0
572,9,1,1,8,0,1,0,1.484782355,0
573,2,3,3,10,0,1,0,4.880141702,0
574,9,0,0,11,0,1,0,0.517744699,0
575,9,0,0,1,0,0,1,0.329271366,1
576,5,0,1,1,1,0,0,0.473775144,1
577,8,2,2,13,0,0,1,3.984854735,0
578,9,1,0,2,1,0,0,0.39044325,1
